TraceID,SpanID,ParentID,PodName,OperationName,StartTimeUnixNano,EndTimeUnixNano,Duration
06879083fef35fcc370224080f5c1e7c,a207ee2c16a0bedf,root,frontend-579b9bff58-t2dbm,hipstershop.Frontend/Recv.,1661270161479193926,1661270161599943429,120749
06879083fef35fcc370224080f5c1e7c,2c5d1fa53a87c6c7,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/GetSupportedCurrencies,1661270161479318593,1661270161497545399,18226
06879083fef35fcc370224080f5c1e7c,81c8d7fada05a046,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.CartService/GetCart,1661270161497594477,1661270161501731909,4137
06879083fef35fcc370224080f5c1e7c,3374fe3837096045,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.RecommendationService/ListRecommendations,1661270161501750952,1661270161509161979,7411
06879083fef35fcc370224080f5c1e7c,73227be90ea23798,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661270161509181067,1661270161512799452,3618
06879083fef35fcc370224080f5c1e7c,8a41884d28a32cf3,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661270161512814162,1661270161516835661,4021
06879083fef35fcc370224080f5c1e7c,f20d7fd7079a1737,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661270161516844387,1661270161541927891,25083
06879083fef35fcc370224080f5c1e7c,d1282f15df9ba350,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661270161541950029,1661270161545652421,3702
06879083fef35fcc370224080f5c1e7c,3d98f0652648713d,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661270161545668369,1661270161549154719,3486
06879083fef35fcc370224080f5c1e7c,8556085be9094b8e,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.ShippingService/GetQuote,1661270161549167142,1661270161551398530,2231
06879083fef35fcc370224080f5c1e7c,acebc1efc32d07bd,a207ee2c16a0bedf,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/Convert,1661270161551414583,1661270161599589555,48174
06879083fef35fcc370224080f5c1e7c,99c87a0c592a1d26,2c5d1fa53a87c6c7,currencyservice-cf787dd48-vpjrd,grpc.hipstershop.CurrencyService/GetSupportedCurrencies,1661270161493628672,1661270161493841152,212
06879083fef35fcc370224080f5c1e7c,3774ddef45d09857,99c87a0c592a1d26,currencyservice-cf787dd48-vpjrd,hipstershop.CurrencyService/GetCurrencyData,1661270161493741312,1661270161494223360,482
06879083fef35fcc370224080f5c1e7c,6e6867ce9ef30841,81c8d7fada05a046,cartservice-579f59597d-wc2lz,hipstershop.CartService/GetCart,1661270161499247600,1661270161500891000,1643
06879083fef35fcc370224080f5c1e7c,67e126927bc4660a,3374fe3837096045,recommendationservice-6cfdd55578-gfj6q,/hipstershop.RecommendationService/ListRecommendations,1661270161503455740,1661270161508362955,4907
06879083fef35fcc370224080f5c1e7c,4bae2ed140631d4d,67e126927bc4660a,recommendationservice-6cfdd55578-gfj6q,/hipstershop.ProductCatalogService/ListProducts,1661270161503811942,1661270161508114120,4302
06879083fef35fcc370224080f5c1e7c,22be4923b67a2562,4bae2ed140631d4d,productcatalogservice-668d5f85fb-jhwx9,hipstershop.ProductCatalogService/ListProducts,1661270161504658413,1661270161507288339,2629
06879083fef35fcc370224080f5c1e7c,9c65a5244487e14a,73227be90ea23798,productcatalogservice-668d5f85fb-jhwx9,hipstershop.ProductCatalogService/GetProduct,1661270161509927438,1661270161512135613,2208
06879083fef35fcc370224080f5c1e7c,4a6e31bd7b0f3d9e,8a41884d28a32cf3,productcatalogservice-668d5f85fb-jhwx9,hipstershop.ProductCatalogService/GetProduct,1661270161513540064,1661270161515772543,2232
